TIMESTAMP,VX,VY,VZ,GX,GY,GZ,AX,AY,AZ
1634099676,313.6,312.7,303.98,3993.53,0.06,10.99,185.44,359.34,353.53
1634099677,313.56,312.75,303.98,3992.49,0.24,12.94,184.61,359.8,351.73
1634099678,313.54,312.83,303.89,3998.66,0.67,15.99,184.39,0,349.69
1634099679,313.52,312.84,303.91,1.04,0.55,0,184.3,359.97,349.33
1634099680,313.5,312.81,303.95,1.34,3998.78,0,184.44,0.03,349.34
1634099681,313.52,312.81,303.97,3996.28,3997.44,19.53,184.24,0.91,342.86
1634099682,313.34,313.2,303.93,3999.94,0.37,0,182.32,0.88,338.83
1634099683,313.35,313.21,303.89,0,0.31,0,182.21,0.88,338.75
1634099684,313.36,313.21,303.93,0,0,0,182.24,0.98,338.74
1634099686,313.36,313.21,303.92,0,0,0,182.27,1.2,338.74
1634099687,313.35,313.2,303.92,0,0,0,182.3,1.31,338.74
1634099688,313.36,313.21,303.92,0,0,0,182.31,1.37,338.74
1634099689,313.36,313.21,303.93,0,0,0,182.32,1.41,338.74
1634099690,313.37,313.21,303.93,0,0,0,182.32,1.42,338.74
1634099691,313.36,313.21,303.93,0,0,0,182.32,1.42,338.74
1634099692,313.36,313.21,303.92,0,0,0,182.32,1.42,338.74
1634099694,313.36,313.21,303.93,0,0,0,182.33,1.42,338.74
1634099695,313.36,313.21,303.92,0,0,0,182.33,1.42,338.74
1634099696,313.36,313.21,303.92,0,0,0,182.38,1.43,338.74
1634099697,313.37,313.2,303.93,0,0,0,182.39,1.43,338.74
1634099698,313.36,313.2,303.92,0,0,0,182.38,1.42,338.74
1634099699,313.33,313.23,303.94,0,3999.88,0,182.15,1.52,338.7
1634099700,313.41,313.21,303.88,0.24,3999.82,0,182.17,1.54,338.7
1634099701,313.34,313.24,304.02,3999.27,3999.94,0,182.27,1.53,338.7
1634099702,313.35,313.24,303.92,0,0,0,182.26,1.56,338.7
1634099703,313.35,313.21,303.92,0,0,0,182.27,1.56,338.7
1634099704,313.35,313.23,303.92,0,0,0,182.26,1.53,338.7
1634099705,313.35,313.21,303.92,0,0,0,182.26,1.53,338.7
1634099707,313.35,313.22,303.93,0,0,0,182.26,1.53,338.7
1634099708,313.35,313.21,303.91,0,0,0,182.26,1.53,338.7
1634099709,313.34,313.21,303.93,0,0,0,182.26,1.53,338.7
1634099710,313.34,313.22,303.92,0,0,0,182.27,1.52,338.7
1634099711,313.35,313.22,303.92,0,0,0,182.27,1.53,338.7
1634099712,313.35,313.22,303.92,0,0,0,182.27,1.52,338.7
1634099713,313.35,313.22,303.92,0,0,0,182.27,1.52,338.7
1634099714,313.35,313.22,303.92,0,0,0,182.27,1.52,338.7
1634099715,313.34,313.22,303.93,0,0,0,182.27,1.52,338.7
1634099716,313.35,313.22,303.92,0,0,0,182.27,1.52,338.7
1634099717,313.35,313.22,303.92,0,0,0,182.27,1.52,338.7
1634099718,313.35,313.22,303.93,0,0,0,182.27,1.52,338.7
1634099719,313.35,313.22,303.93,0,0,0,182.27,1.52,338.7
1634099721,313.34,313.22,303.93,0,0,0,182.27,1.52,338.7
1634099722,313.34,313.22,303.93,0,0,0,182.27,1.52,338.7
1634099723,313.35,313.21,303.92,0,0,0,182.27,1.53,338.7
1634099724,313.35,313.22,303.92,0,0,0,182.27,1.52,338.7
1634099725,313.34,313.22,303.92,0,0,0,182.27,1.52,338.7
1634099726,313.34,313.22,303.93,0,0,0,182.27,1.53,338.7
1634099727,313.34,313.22,303.93,0,0,0,182.27,1.53,338.7
1634099728,313.34,313.22,303.94,0,0,0,182.27,1.53,338.7
1634099729,313.35,313.22,303.91,0,0,0,182.27,1.53,338.7
1634099730,313.34,313.22,303.92,0,0,0,182.27,1.53,338.7
1634099731,313.34,313.22,303.92,0,0,0,182.27,1.53,338.7
1634099732,313.35,313.22,303.93,0,0,0,182.27,1.52,338.7
1634099733,313.34,313.22,303.92,0,0,0,182.27,1.53,338.7
1634099735,313.35,313.22,303.91,0,0,0,182.27,1.53,338.7
1634099736,313.34,313.22,303.93,0,0,0,182.27,1.53,338.7
1634099737,313.34,313.22,303.91,0,0,0,182.28,1.53,338.7
1634099738,313.34,313.22,303.93,0,0,0,182.28,1.53,338.7
1634099739,313.35,313.22,303.92,0,0,0,182.28,1.53,338.7
1634099740,313.34,313.22,303.92,0,0,0,182.27,1.53,338.7
1634099741,313.34,313.22,303.92,0,0,0,182.28,1.53,338.7
1634099742,313.34,313.22,303.93,0,0,0,182.28,1.53,338.7
1634099743,313.34,313.22,303.92,0,0,0,182.28,1.53,338.7
1634099744,313.35,313.22,303.93,0,0,0,182.28,1.53,338.7
1634099745,313.35,313.21,303.92,0,0,0,182.29,1.52,338.7
1634099746,313.35,313.22,303.92,0,0,0,182.29,1.52,338.7
1634099747,313.34,313.21,303.93,0,0,0,182.29,1.53,338.7
1634099749,313.34,313.22,303.91,0,0,0,182.29,1.53,338.7
1634099750,313.34,313.21,303.92,3999.82,0,0,182.29,1.53,338.7
1634099751,313.38,313.22,303.9,3999.88,0,0,182.3,1.54,338.7
1634099752,313.36,313.23,303.93,0,0,0,182.3,1.54,338.7
1634099753,313.34,313.22,303.92,0,0,0,182.29,1.54,338.7
1634099754,313.34,313.21,303.93,0,0,0,182.29,1.54,338.7
1634099755,313.34,313.22,303.92,0,0,0,182.29,1.53,338.7
1634099756,313.34,313.22,303.92,0,0,0,182.29,1.53,338.7
1634099757,313.35,313.22,303.92,0,0,0,182.3,1.54,338.7
1634099758,313.34,313.21,303.93,0,0,0,182.3,1.53,338.7
1634099759,313.34,313.22,303.91,0,0,0,182.3,1.53,338.7
1634099760,313.33,313.23,303.92,3999.94,0.24,0,182.3,1.47,338.7
1634099761,313.36,313.21,303.9,0.31,3999.82,0,182.29,1.5,338.7
1634099762,313.34,313.22,303.95,0,0.06,0,182.3,1.5,338.7
1634099764,313.35,313.2,303.94,0,0,0,182.31,1.51,338.7
1634099765,313.34,313.21,303.92,0.18,3999.94,0,182.32,1.53,338.7
1634099766,313.34,313.21,303.92,0,0,0,182.32,1.54,338.7
1634099767,313.34,313.21,303.91,0.12,0,0,182.31,1.52,338.7
1634099768,313.35,313.21,303.91,0,0,0,182.31,1.52,338.7
1634099769,313.34,313.22,303.93,0,0,0,182.31,1.52,338.7
1634099770,313.34,313.22,303.92,0,0,0,182.31,1.52,338.7
1634099771,313.34,313.21,303.92,0,0,0,182.3,1.53,338.7
1634099772,313.34,313.22,303.92,0,0,0,182.3,1.53,338.7
1634099773,313.34,313.21,303.94,0,0,0,182.3,1.53,338.7
1634099774,313.34,313.21,303.92,0,0,0,182.3,1.53,338.7
1634099775,313.34,313.22,303.94,0,0,0,182.3,1.54,338.7
1634099776,313.35,313.24,303.9,0.12,0,0,182.33,1.49,338.69
1634099778,313.35,313.2,303.91,0.06,0.06,0,182.34,1.51,338.69
1634099779,313.35,313.2,303.93,0,0,0,182.33,1.55,338.69
1634099780,313.34,313.22,303.93,0,0,0,182.33,1.55,338.69
1634099781,313.34,313.21,303.92,0,0,0,182.33,1.55,338.69
1634099782,313.34,313.21,303.92,0,0,0,182.33,1.57,338.69
1634099783,313.34,313.22,303.93,0,0,0,182.32,1.57,338.69
1634099784,313.34,313.21,303.92,0,0,0,182.32,1.57,338.69
1634099785,313.34,313.21,303.91,0,0,0,182.32,1.55,338.69
1634099786,313.32,313.21,303.91,0.24,0.12,0,182.32,1.55,338.69
1634099787,313.34,313.22,303.92,0,0,0,182.32,1.54,338.69
1634099788,313.32,313.21,303.92,0,0,0,182.32,1.54,338.69
1634099789,313.36,313.21,303.97,0,0,0,182.32,1.55,338.69
1634099790,313.34,313.21,303.92,0,0,0,182.32,1.55,338.69
1634099792,313.36,313.22,303.91,0,3999.94,0,182.33,1.57,338.69
1634099793,313.34,313.22,303.91,0.12,0,0,182.35,1.59,338.69
1634099794,313.33,313.2,303.93,0,0,0,182.33,1.55,338.69
1634099795,313.35,313.21,303.92,0,0,0,182.33,1.55,338.69
1634099796,313.35,313.19,303.91,0,0,0,182.32,1.54,338.69
1634099797,313.33,313.19,303.95,3999.94,0,0,182.32,1.54,338.69
1634099798,313.34,313.2,303.92,0,0,0,182.32,1.54,338.69
1634099799,313.34,313.21,303.93,0,0,0,182.32,1.53,338.69
1634099800,313.34,313.22,303.93,0,0,0,182.32,1.54,338.69
1634099801,313.34,313.21,303.92,0,0,0,182.32,1.54,338.69
1634099802,313.35,313.21,303.92,0,0,0,182.32,1.54,338.69
1634099803,313.32,313.2,303.88,0.49,0.12,0,182.34,1.53,338.69
1634099804,313.35,313.21,303.92,0,0,0,182.33,1.52,338.69
1634099806,313.33,313.21,303.93,0,0,0,182.33,1.52,338.69
1634099807,313.36,313.2,303.92,0.06,0.06,0,182.33,1.52,338.69
1634099808,313.34,313.21,303.93,0,0,0,182.33,1.52,338.69
1634099809,313.35,313.21,303.93,0.06,0,0,182.34,1.52,338.69
1634099810,313.34,313.21,303.92,0,0,0,182.32,1.53,338.69
1634099811,313.35,313.2,303.92,0,0,0,182.32,1.53,338.69
1634099812,313.35,313.21,303.92,0,0,0,182.31,1.53,338.69
1634099813,313.36,313.21,303.91,0,0,0,182.3,1.53,338.69
1634099814,313.35,313.22,303.92,0,0,0,182.3,1.53,338.69
1634099815,313.32,313.23,303.96,0,0,0,182.31,1.54,338.69
